Date/time,Original gage height (ft),Adjusted gage height (ft),Discharge (cfs),Reported mean daily discharge (cfs),Calculated mean daily discharge (cfs)
17387.0,0.65076267,0.57076267,14.3686403,10.0,9.98533322504
17387.26458,0.65076267,0.57076267,14.3686403,10.0,9.98533322504
17387.29306,0.643879907,0.563879907,13.74919163,10.0,9.98533322504
17387.33333,0.631490934,0.551490934,12.63418406,10.0,9.98533322504
17387.37986,0.613595751,0.533595751,11.02361759,10.0,9.98533322504
17387.43681,0.60808954,0.52808954,10.5280586,10.0,9.98533322504
17387.48333,0.590194357,0.510194357,8.91749213,10.0,9.98533322504
17387.54097,0.577805383,0.497805383,7.885879916,10.0,9.98533322504
17387.69097,0.568169515,0.488169515,7.38481478,10.0,9.98533322504
17387.78333,0.55440399,0.47440399,6.66900748,10.0,9.98533322504
17387.86875,0.550274332,0.470274332,6.454265264,10.0,9.98533322504
17387.87569,0.542015016,0.462015016,6.024780832,10.0,9.98533322504
17387.99653,0.543391569,0.463391569,6.096361588,10.0,9.98533322504
17388.0,0.540876254,0.460876254,5.965565208,10.0,9.98533322504
17388.0,0.540876254,0.555876254,13.02886286,466.0,468.650235023
17388.04653,0.507171029,0.522171029,9.99539261,466.0,468.650235023
17388.0625,0.506009563,0.521009563,9.89086067,466.0,468.650235023
17388.06319,0.491491235,0.506491235,8.58421115,466.0,468.650235023
17388.07708,0.492071968,0.507071968,8.63647712,466.0,468.650235023
17388.08194,0.498460032,0.513460032,9.21140288,466.0,468.650235023
17388.08889,0.492652701,0.507652701,8.68874309,466.0,468.650235023
17388.11667,0.493233434,0.508233434,8.74100906,466.0,468.650235023
17388.12569,0.499040765,0.514040765,9.26366885,466.0,468.650235023
17388.14514,0.493814167,0.508814167,8.79327503,466.0,468.650235023
17388.16042,0.482199505,0.497199505,7.85437426,466.0,468.650235023
17388.16944,0.493233434,0.508233434,8.74100906,466.0,468.650235023
17388.19028,0.520140735,0.535140735,11.16266615,466.0,468.650235023
17388.23472,0.516269181,0.531269181,10.81422629,466.0,468.650235023
17388.2875,0.512397627,0.527397627,10.46578643,466.0,468.650235023
17388.31736,0.508526073,0.523526073,10.11734657,466.0,468.650235023
17388.33333,0.501557276,0.516557276,9.49015484,466.0,468.650235023
17388.35486,0.48967495,0.50467495,8.4207455,466.0,468.650235023
17388.35556,0.728162685,0.743162685,52.38043235,466.0,468.650235023
17388.36042,1.231203433,1.246203433,405.4441196,466.0,468.650235023
17388.37014,1.267911501,1.282911501,449.4938012,466.0,468.650235023
17388.37778,1.365799685,1.380799685,583.119559,466.0,468.650235023
17388.3875,1.392718936,1.407718936,622.3502976,466.0,468.650235023
17388.56111,1.407402163,1.422402163,645.8434608,466.0,468.650235023
17388.62222,1.407631589,1.422631589,646.2105424,466.0,468.650235023
17388.62639,1.436668245,1.451668245,692.669192,466.0,468.650235023
17388.66528,1.435506778,1.450506778,690.8108448,466.0,468.650235023
17388.68611,1.495903023,1.510903023,789.6254414,466.0,468.650235023
17388.69236,1.513325016,1.528325016,820.9850288,466.0,468.650235023
17388.71042,1.526681878,1.541681878,845.0273804,466.0,468.650235023
17388.90417,1.529004811,1.544004811,849.2086598,466.0,468.650235023
17388.91667,1.543523139,1.558523139,875.3416502,466.0,468.650235023
17388.93889,1.490095692,1.505095692,779.1722456,466.0,468.650235023
17388.96042,1.447121441,1.462121441,709.3943056,466.0,468.650235023
