15097,1.11
15097.04722,1.114111854
15097.15764,1.114111854
15097.27569,1.140761817
15097.5875,1.19977245
15097.60278,1.207386725
15097.68333,1.211193863
15097.72083,1.215001001
15097.74583,1.235940258
15097.74931,1.412972156
15097.75694,1.664243239
15097.79306,1.715925132
15097.79514,1.706121752
15097.80972,1.751617047
15097.81458,1.763752298
15097.83125,1.751617047
15097.86458,1.727346544
15097.875,1.714497455
15097.89653,1.664528774
15097.90556,1.678091702
15097.92083,1.657390391
15097.94861,1.656676553
15097.96667,1.63240605
15097.98125,1.625981506
15098,1.63
